Country,Lat,Long,Sample_ID,Plot_ID,tillage_intensity,tillage_intensity_calc,Crop_sp_2017,Crop_2017,Land_use,tillage_no_times,tillage_depth_max_cm,Crop_cover,src,geometry,overlay_id,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20090101_20091231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20080101_20081231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20120101_20121231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20150101_20151231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20100101_20101231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20160101_20161231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20140101_20141231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20070101_20071231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20110101_20111231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20130101_20131231_eu_epsg.3035_v20231127,bsf_10years,bsf_10years_agg
France,43.5346,1.4987,FR2,LA5,0.603640234,40.0,durum_wheat,wheat,Cropland,4,10,0.632653061,amf.fungi cover.crop soc,POINT (3633741.041262465 2308530.965914641),2,33.0,50.0,50.0,33.0,50.0,16.0,33.0,33.0,33.0,16.0,"[33.0, 50.0, 33.0, 50.0, 33.0, 50.0, 16.0, 33.0, 33.0, 16.0]",34.7
France,43.6139,3.97918,FR11,CA28A,0.494539648,20.0,durum_wheat,wheat,Cropland,1,20,0.780487805,amf.fungi cover.crop soc,POINT (3834339.940810503 2297874.672867701),3,83.0,66.0,33.0,33.0,16.0,50.0,50.0,16.0,50.0,66.0,"[16.0, 66.0, 83.0, 16.0, 50.0, 33.0, 66.0, 50.0, 33.0, 50.0]",46.3
France,43.615201,3.975673,FR10,MA6,0.494539648,20.0,durum_wheat,wheat,Cropland,1,20,0.82278481,amf.fungi cover.crop soc,POINT (3834068.061731482 2298041.268603395),4,66.0,66.0,50.0,66.0,50.0,16.0,50.0,66.0,50.0,50.0,"[66.0, 66.0, 66.0, 50.0, 50.0, 50.0, 50.0, 50.0, 66.0, 16.0]",53.0
France,43.615902,3.976568,FR8,MA7B2,0.494539648,20.0,durum_wheat,wheat,Cropland,1,20,0.721518987,amf.fungi cover.crop soc,POINT (3834146.09664411 2298112.960331295),5,50.0,50.0,33.0,0.0,16.0,0.0,16.0,33.0,0.0,0.0,"[33.0, 50.0, 50.0, 16.0, 0.0, 33.0, 0.0, 16.0, 0.0, 0.0]",19.8
France,43.61605,3.975727,FR9,MA8,0.494539648,20.0,durum_wheat,wheat,Cropland,1,20,0.8375,amf.fungi cover.crop soc,POINT (3834079.527231933 2298134.781875869),6,50.0,83.0,33.0,66.0,50.0,16.0,16.0,33.0,50.0,0.0,"[33.0, 83.0, 50.0, 50.0, 50.0, 33.0, 0.0, 16.0, 66.0, 16.0]",39.7
France,43.6167,3.974,FR7,MA9,0.596359766,40.0,durum_wheat,wheat,Cropland,2,20,0.836956522,amf.fungi cover.crop soc,POINT (3833945.727476575 2298217.856919291),7,83.0,66.0,33.0,0.0,33.0,16.0,50.0,66.0,33.0,50.0,"[66.0, 66.0, 83.0, 33.0, 33.0, 33.0, 50.0, 50.0, 0.0, 16.0]",43.0
France,43.647151,3.88559,FR5,,0.533811601,22.0,durum_wheat,wheat,Cropland,1,22,0.698924731,amf.fungi soc,POINT (3827076.73777945 2302162.530897825),8,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.6
France,43.647444,3.884251,FR4,,0.533811601,22.0,durum_wheat,wheat,Cropland,1,22,0.75,amf.fungi soc,POINT (3826971.338019493 2302203.74193492),9,33.0,16.0,16.0,50.0,33.0,50.0,16.0,33.0,0.0,33.0,"[33.0, 16.0, 33.0, 33.0, 0.0, 16.0, 33.0, 16.0, 50.0, 50.0]",28.0
France,47.131621,5.53161,FR15,1321,0.533811601,22.0,winter_wheat,wheat,Cropland,1,22,0.780701754,amf.fungi cover.crop soc,POINT (3981947.986524247 2678897.30389782),10,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 16.0, 0.0]",3.2
France,47.133361,5.45433,FR16,1306,0.635631719,44.0,winter_wheat,wheat,Cropland,2,22,0.745614035,amf.fungi cover.crop soc,POINT (3976103.95343569 2679446.914551737),11,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,33.0,16.0,"[0.0, 0.0, 0.0, 0.0, 33.0, 0.0, 16.0, 16.0, 16.0, 0.0]",8.1
