feature combination,CCC,RMSE,R2
band,0.6347432591006602,0.6516802185971964,0.48810037151216445
crop,0.060699587691029934,0.8979348189729889,0.028136297318639536
soil,0.582377341621518,0.6903637843243257,0.42552419950857145
vegetation,0.593895809242631,0.6800500734043073,0.4425607801637669
water,0.591027942803315,0.6810098785403242,0.44098615907904715
band+crop,0.6361374624861265,0.6510319902637746,0.4891182413154732
band+soil,0.6489581535119645,0.6416963324156292,0.5036650567248421
band+vegetation,0.6510152717466255,0.6389094310255677,0.5079668822461922
band+water,0.6514697787183295,0.6391483535931003,0.5075988181961496
crop+soil,0.5811091417028771,0.6907465539486286,0.42488699098043736
crop+vegetation,0.5933156909870562,0.680170053179547,0.44236406720160304
crop+water,0.5897949462127541,0.6815749058320213,0.4400581575369096
soil+vegetation,0.6308950884445081,0.6552160042896967,0.4825305308108784
soil+water,0.6262320967022952,0.6577497076179267,0.4785207107517948
vegetation+water,0.6184056922250863,0.6606577341054694,0.473899415234297
band+crop+soil,0.6503319063687953,0.6407274517433136,0.5051627317716993
band+crop+vegetation,0.6501844117357398,0.6396107130840472,0.5068861551490613
band+crop+water,0.6510127659302269,0.6393655268741445,0.5072641398781921
band+soil+vegetation,0.6593445506751977,0.6335786093113082,0.5161433100214123
band+soil+water,0.659677445388683,0.6337618619709539,0.5158633736506468
band+vegetation+water,0.6581062173503952,0.6335337145999889,0.5162118787403585
crop+soil+vegetation,0.6300005923490646,0.6555473878714748,0.4820069653017176
crop+soil+water,0.6248291450845989,0.6587583302117749,0.47692016554569017
crop+vegetation+water,0.6207659196299514,0.659143430137884,0.4763084180348748
soil+vegetation+water,0.6459559173146674,0.6425681281231596,0.5023155193136459
band+crop+soil+vegetation,0.6595011554088509,0.6336071242087202,0.5160997560435747
band+crop+soil+water,0.6600065988347443,0.6333383077528921,0.5165102714857329
band+crop+vegetation+water,0.6574811781342366,0.633935373105951,0.5155982437974821
band+soil+vegetation+water,0.6657839571153703,0.6281555478820496,0.5243909201195048
crop+soil+vegetation+water,0.6454030191194051,0.6428959563443599,0.5018075680771916
band+crop+soil+vegetation+water,0.6656636836569821,0.6283672557282343,0.5240702761576128
